EmployeeID;FirstName;LastName;Salary;Department;Manager
104;Lorraine;Sims;58914;Alpha-Department;20
105;Linda;Robertson;198636;Distribution and Shipping;3
106;Lindsay;Lam;123855;Executive Support & Management Board;16
107;Meredith;Hayden;291439;Mergers and Aquisition;2
108;Betty;Avila;313534;Mergers and Aquisition;2
109;Erik;Delgado;158356;Externam Communication;15
110;Dawn;Gibson;70025;Alpha-Department;20
111;Stuart;Peterson;310261;Key-Account-Group;7
112;Gavin;Saunders;113767;Controlling;10
113;Natalie;Mcmahon;295981;Cantine & Beverage Management;17
114;Valerie;Gallagher;338412;Diversity;9
115;Willie;Peck;200965;Controlling;10
116;Ariel;Crosby;195740;Distribution and Shipping;3
117;Jeremy;Wells;255380;Strategic Communication;18
118;Joann;Garza;182019;Distribution and Shipping;3
119;Jeanne;Rowe;329271;Strategic Communication;18
120;Christie;Kane;78928;Sales and Marketing;1
121;Reginald;Thornton;105824;Key-Account-Group;7
122;Kristen;Brady;360014;Diversity;9
123;Gail;Bridges;168048;Customer Relationship Management;8
124;Danny;Aguilar;254430;Sales and Marketing;1
125;Reginald;Kelly;301520;Controlling;10
126;Yvonne;Greene;59237;Distribution and Shipping;3
127;Diamond;Burton;377123;Strategic Communication;18
128;Alicia;Chaney;157415;Externam Communication;15
129;Devon;Marquez;109431;Business Analysis;6
130;Tony;Parrish;170537;Business Analysis;6
131;Karla;Logan;191153;Internal Communication;14
132;Cody;Walters;321623;Cantine & Beverage Management;17
133;Shawna;Fields;360750;Human Resources;5
134;Kathryn;Clay;181283;Strategic Communication;18
135;Jaime;Arellano;320459;Financial Services;4
136;Arthur;Gross;338039;Human Resources;5
137;Tami;Farley;158178;Social and Charity;13
138;Christine;Rosales;137971;Research;12
139;Howard;Camacho;330538;Distribution and Shipping;3
140;Lucas;Thomas;73980;Cantine & Beverage Management;17
141;Carlos;Mccall;264937;Cantine & Beverage Management;17
142;Robyn;Salas;174945;Executive Support & Management Board;16
143;Jody;Acevedo;266845;Business Analysis;6
144;Leslie;Benitez;361528;Strategic Communication;18
145;Isaiah;Huffman;133118;Mergers and Aquisition;2
146;Julian;Hampton;172247;Alpha-Department;20
147;Justin;Elliott;51835;Diversity;9
148;Glen;Hamilton;227805;Key-Account-Group;7
149;Scott;Dawson;134070;Social and Charity;13
150;Connie;Sutton;120779;Controlling;10
151;Kevin;Vance;256569;Key-Account-Group;7
152;Paul;Combs;333598;Business Analysis;6
153;Patricia;Garza;93344;Investigation;11
154;Lee;Ferguson;159466;Diversity;9
155;Karla;Sloan;158186;Research;12
156;Tyrone;Duffy;338556;Research;12
157;Christopher;Page;178670;Sales and Marketing;1
158;Randall;Bullock;273662;Mergers and Aquisition;2
159;Ronnie;Cantrell;79625;Investigation;11
160;Gloria;Landry;184334;Alpha-Department;20
161;Nathan;Carrillo;132574;Controlling;10
162;Tonya;Logan;263640;Social and Charity;13
163;Selena;Shields;370077;Customer Relationship Management;8
164;Jorge;King;128979;Externam Communication;15
165;Angie;Lowe;225383;Diversity;9
166;Sarah;Humphrey;371177;Key-Account-Group;7
167;Melody;Esparza;92768;Research;12
168;Melody;Serrano;57179;Business Analysis;6
169;Alexa;Santana;54749;Alpha-Department;20
170;Herbert;Poole;305059;Investigation;11
171;Jerry;Schultz;258236;Cantine & Beverage Management;17
172;Tom;Stuart;364518;Strategic Communication;18
173;Guy;Stephens;204820;Key-Account-Group;7
174;Grant;Barton;397421;Internal Communication;14
175;Jamie;Riggs;178070;Key-Account-Group;7
176;Jermaine;Trujillo;134356;Internal Communication;14
177;Bobby;Mathis;286521;Business Analysis;6
178;Terri;Neal;328015;Diversity;9
179;Reginald;Nixon;86903;Financial Services;4
180;Sarah;Huber;129566;Key-Account-Group;7
181;Hunter;Romero;137850;Business Analysis;6
182;Alisha;Blair;177829;Externam Communication;15
183;Malik;Mclaughlin;256306;Controlling;10
184;Kristopher;Nicholson;352577;Strategic Communication;18
185;Chris;Lucero;99921;Diversity;9
186;Paul;Glover;297205;Liberterian Relationship;19
187;Joe;Dominguez;164547;Executive Support & Management Board;16
188;Susan;Palmer;122479;Alpha-Department;20
189;Patricia;Sullivan;395344;Investigation;11
190;Raven;Marks;80431;Key-Account-Group;7
191;Jenna;Cervantes;44289;Cantine & Beverage Management;17
192;Bobby;Richard;102060;Cantine & Beverage Management;17
193;Dominique;Whitehead;386368;Controlling;10
194;Theresa;Austin;152003;Financial Services;4
195;Brady;Velasquez;181188;Executive Support & Management Board;16
196;George;Riddle;265277;Controlling;10
197;Rachel;Chambers;257334;Mergers and Aquisition;2
198;Dylan;Combs;326318;Key-Account-Group;7
199;Sue;Schultz;296234;Key-Account-Group;7
200;Cindy;Shea;89305;Sales and Marketing;1
201;Michael;Hayden;244585;Diversity;9
202;Marcia;Christian;163393;Diversity;9
203;Chris;Parker;41822;Executive Support & Management Board;16
204;Karl;Skinner;338147;Cantine & Beverage Management;17
205;Lynn;Townsend;143542;Externam Communication;15
206;Renee;Mora;315649;Research;12
207;Diana;Hubbard;41025;Social and Charity;13
208;Tasha;Hendrix;224282;Social and Charity;13
209;Audrey;Kerr;235086;Controlling;10
210;Bernard;Duncan;375837;Research;12
211;Karen;Riddle;95469;Internal Communication;14
212;Dalton;Gilbert;175992;Diversity;9
213;Shelley;Bowen;345025;Key-Account-Group;7
214;Thomas;Bullock;168765;Alpha-Department;20
215;Beverly;Deleon;212183;Cantine & Beverage Management;17
216;Luis;Odom;368893;Social and Charity;13
217;Terri;Bullock;198702;Distribution and Shipping;3
218;Arthur;Barrera;56188;Strategic Communication;18
219;Troy;Carrillo;247293;Customer Relationship Management;8
220;Caitlin;Graham;110137;Controlling;10
221;Fred;Reed;359030;Business Analysis;6
222;Christian;Riley;193162;Customer Relationship Management;8
223;Neil;Miles;295459;Cantine & Beverage Management;17
224;Gabriel;Bush;232514;Sales and Marketing;1
225;Alfred;Joyce;210334;Investigation;11
226;Shawna;Romero;252930;Executive Support & Management Board;16
227;Destiny;Sandoval;44566;Externam Communication;15
228;Mindy;Hanson;93808;Alpha-Department;20
229;Maxwell;Floyd;280938;Mergers and Aquisition;2
230;Ernest;Farley;65999;Business Analysis;6
231;Randy;Chan;263287;Social and Charity;13
232;Wayne;Cochran;389244;Executive Support & Management Board;16
233;Wesley;Lee;158716;Mergers and Aquisition;2
234;Dana;Levy;325561;Investigation;11
235;Kristy;Pineda;182257;Externam Communication;15
236;Bob;Frey;66356;Human Resources;5
237;Jacqueline;Allison;44259;Financial Services;4
238;Karl;Morse;228493;Cantine & Beverage Management;17
239;Caitlin;Fernandez;130327;Business Analysis;6
240;Charlene;Welch;209718;Investigation;11
241;Jasmin;Peck;290312;Externam Communication;15
242;Samuel;Gould;194906;Cantine & Beverage Management;17
243;Maxwell;Reilly;81711;Business Analysis;6
244;Glen;Cummings;290314;Research;12
245;Diane;May;117045;Executive Support & Management Board;16
246;Karina;Fitzpatrick;236126;Social and Charity;13
247;Sherry;Strickland;172990;Investigation;11
248;Beverly;Castro;350949;Social and Charity;13
249;Carly;Terrell;83200;Externam Communication;15
250;Donna;Villegas;280647;Strategic Communication;18
251;Evan;Welch;71752;Alpha-Department;20
252;Jillian;Manning;227112;Internal Communication;14
253;Craig;Garrison;289505;Investigation;11
254;Aaron;Macdonald;100192;Human Resources;5
255;Tammie;Schmitt;172964;Customer Relationship Management;8
256;Anna;Anderson;121819;Business Analysis;6
257;Andre;Duncan;115823;Executive Support & Management Board;16
258;Gilbert;Guerra;57858;Alpha-Department;20
259;Cody;Thomas;248959;Cantine & Beverage Management;17
260;Leroy;Soto;89175;Sales and Marketing;1
261;Brandi;Dennis;325257;Internal Communication;14
262;Molly;Macdonald;302030;Social and Charity;13
263;Duane;Vaughn;165513;Alpha-Department;20
264;Connie;Kane;179424;Controlling;10
265;Martha;Villanueva;158758;Social and Charity;13
266;Melinda;Schultz;74823;Liberterian Relationship;19
267;Tony;Chase;141158;Strategic Communication;18
268;Nina;Ferguson;323714;Key-Account-Group;7
269;Randy;Wagner;151828;Distribution and Shipping;3
270;Jill;Cook;150150;Sales and Marketing;1
271;Katelyn;David;199324;Externam Communication;15
272;Dean;Conley;229787;Customer Relationship Management;8
273;Madeline;Wilkinson;393566;Liberterian Relationship;19
274;Eddie;Krause;194522;Internal Communication;14
275;Darryl;Kerr;81914;Cantine & Beverage Management;17
276;Bridget;Stone;60313;Customer Relationship Management;8
277;Stefanie;Schwartz;222467;Controlling;10
278;Diana;Travis;71353;Executive Support & Management Board;16
279;Stacey;Cain;209236;Strategic Communication;18
280;Caitlyn;Kirk;347105;Social and Charity;13
281;Dylan;Harris;135597;Executive Support & Management Board;16
282;Justin;Salas;97103;Human Resources;5
283;Theresa;Irwin;281601;Alpha-Department;20
284;Barbara;Chambers;122383;Liberterian Relationship;19
285;Joan;Munoz;328232;Controlling;10
286;Stacy;Long;174750;Financial Services;4
287;Gregg;Spence;219789;Investigation;11
288;Gene;Duffy;307730;Diversity;9
289;Nathaniel;Henry;325239;Strategic Communication;18
290;Danny;Velazquez;215577;Distribution and Shipping;3
291;Maxwell;Everett;68236;Human Resources;5
292;Eugene;Newman;49687;Financial Services;4
293;Victoria;Moreno;289896;Diversity;9
294;Cesar;Newton;343469;Research;12
295;Seth;George;96387;Financial Services;4
296;Darrell;Norris;238446;Diversity;9
297;Arthur;Khan;81864;Financial Services;4
298;Sandra;Gould;51250;Controlling;10
299;Michael;Atkins;382527;Cantine & Beverage Management;17
300;Tyrone;Swanson;263213;Research;12
301;Jocelyn;Brandt;261763;Controlling;10
302;Kristine;Macias;252746;Controlling;10
303;Patty;Fischer;81250;Research;12
304;Tasha;Madden;56554;Distribution and Shipping;3
305;Hayley;Bender;310694;Financial Services;4
306;Molly;Davis;282135;Strategic Communication;18
307;Jeremiah;Roth;55096;Liberterian Relationship;19
308;Victor;Gaines;209011;Social and Charity;13
309;Ross;Reilly;219560;Research;12
310;Caitlyn;Morrow;119959;Investigation;11
311;Sonia;Swanson;305164;Financial Services;4
312;Frank;Koch;161226;Investigation;11
313;Warren;Huber;97636;Sales and Marketing;1
314;Robin;Browning;125470;Executive Support & Management Board;16
315;Jonathon;Walsh;262130;Business Analysis;6
316;Clinton;Marsh;78971;Sales and Marketing;1
317;Gabriella;Zuniga;235558;Controlling;10
318;Barbara;Armstrong;103677;Customer Relationship Management;8
319;Carrie;Shepherd;343514;Social and Charity;13
320;Sue;Parrish;56062;Distribution and Shipping;3
321;Loretta;Cannon;97752;Internal Communication;14
322;Nathan;Buck;194419;Internal Communication;14
323;Alisha;Moses;71705;Business Analysis;6
324;Cassie;Page;258158;Cantine & Beverage Management;17
325;Rebecca;West;261026;Business Analysis;6
326;Kathleen;Hahn;115141;Distribution and Shipping;3
327;Lee;Salas;355690;Cantine & Beverage Management;17
328;Mia;Nicholson;231511;Alpha-Department;20
329;Penny;Church;152557;Financial Services;4
330;Ricky;Mathis;125026;Executive Support & Management Board;16
331;Donna;Dickerson;173661;Business Analysis;6
332;Joshua;Hudson;204399;Cantine & Beverage Management;17
333;Noah;Byrd;223687;Controlling;10
334;Stacy;Doyle;116269;Controlling;10
335;Sylvia;Barker;199960;Alpha-Department;20
336;Frances;Vaughn;372766;Key-Account-Group;7
337;Kirk;Melton;265978;Social and Charity;13
338;Casey;Blevins;311014;Liberterian Relationship;19
339;Marcia;Navarro;335457;Liberterian Relationship;19
340;Alan;Avery;230720;Key-Account-Group;7
341;Kathleen;Guerrero;269488;Customer Relationship Management;8
342;Jorge;Lawson;308394;Strategic Communication;18
343;Alexis;Parrish;396062;Research;12
344;Terri;Golden;217744;Mergers and Aquisition;2
345;Sergio;Clements;256229;Externam Communication;15
346;Ronald;Padilla;164880;Alpha-Department;20
347;Erin;Dunn;96529;Cantine & Beverage Management;17
348;Nina;Bentley;260022;Executive Support & Management Board;16
349;Devin;Howard;64139;Sales and Marketing;1
350;Cheryl;Hardy;277898;Sales and Marketing;1
351;Max;Compton;259835;Liberterian Relationship;19
352;Jacqueline;Lindsey;241942;Diversity;9
353;Bernard;Bright;208179;Research;12
354;Misty;Cardenas;273690;Distribution and Shipping;3
355;Bernard;Yoder;113774;Mergers and Aquisition;2
356;Kaylee;Mckinney;238641;Sales and Marketing;1
357;Antonio;Mayer;215545;Distribution and Shipping;3
358;Robin;Johnson;343354;Research;12
359;Terrence;Durham;125867;Customer Relationship Management;8
360;Angelica;Rubio;255350;Cantine & Beverage Management;17
361;Cameron;Walsh;290014;Controlling;10
362;Brent;Everett;111188;Mergers and Aquisition;2
363;Nathan;Walter;140651;Sales and Marketing;1
364;Kaitlin;Robbins;370821;Human Resources;5
365;Ernest;Watson;199456;Financial Services;4
366;Kristin;Bush;228382;Controlling;10
367;Jeremy;Collins;90767;Mergers and Aquisition;2
368;Sue;Butler;273995;Business Analysis;6
369;Alex;Price;385442;Liberterian Relationship;19
370;Allison;Hodge;58756;Executive Support & Management Board;16
371;Andrew;Miles;384013;Strategic Communication;18
372;Johnathan;Grant;168049;Financial Services;4
373;Dustin;Holland;177183;Strategic Communication;18
374;Christie;Sanchez;61187;Executive Support & Management Board;16
375;Eric;Dixon;255895;Strategic Communication;18
376;Marisa;Mills;269851;Human Resources;5
377;Terrance;Allison;106252;Liberterian Relationship;19
378;Max;Ayers;346756;Human Resources;5
379;Adrian;Howard;307270;Research;12
380;Leonard;Moran;57339;Cantine & Beverage Management;17
381;Cathy;Turner;371581;Strategic Communication;18
382;Penny;Holmes;373217;Alpha-Department;20
383;Philip;Dyer;286120;Alpha-Department;20
384;Danielle;Mcgee;125138;Distribution and Shipping;3
385;Vernon;Alexander;83398;Controlling;10
386;Crystal;Mooney;394330;Strategic Communication;18
387;Reginald;Spence;328295;Alpha-Department;20
388;Gerald;Ballard;75775;Executive Support & Management Board;16
389;Connie;Weiss;376699;Alpha-Department;20
390;Melinda;Bates;90424;Social and Charity;13
391;Kristen;West;252725;Internal Communication;14
392;Samantha;Pruitt;172402;Liberterian Relationship;19
393;Chase;Raymond;130407;Key-Account-Group;7
394;Dawn;Hayes;389485;Human Resources;5
395;Kristen;Sharp;310843;Internal Communication;14
396;Xavier;Farley;268003;Sales and Marketing;1
397;Seth;Castro;84858;Executive Support & Management Board;16
398;Jenna;Lozano;308992;Executive Support & Management Board;16
399;Tina;Burke;49753;Investigation;11
400;Bill;Obrien;229088;Business Analysis;6
401;Arthur;Patrick;172212;Research;12
402;Katelyn;Morrow;245393;Social and Charity;13
403;Neil;Benson;166559;Business Analysis;6
404;Ryan;Hawkins;388438;Externam Communication;15
405;Donna;Simmons;172696;Key-Account-Group;7
406;Helen;Middleton;49443;Distribution and Shipping;3
407;Alejandra;Petersen;124450;Distribution and Shipping;3
408;Daisy;Keller;195706;Liberterian Relationship;19
409;Stefanie;Novak;266315;Business Analysis;6
410;Antonio;Reynolds;367432;Investigation;11
411;Katie;Hodge;145865;Human Resources;5
412;Billy;Galloway;80648;Social and Charity;13
413;Brendan;Hartman;88507;Alpha-Department;20
414;Sabrina;Kent;376232;Distribution and Shipping;3
415;Phyllis;Gutierrez;64736;Sales and Marketing;1
416;Jim;Haley;78442;Social and Charity;13
417;Vernon;Mccann;376152;Liberterian Relationship;19
418;Isabella;Weber;236288;Diversity;9
419;Russell;Burgess;210281;Liberterian Relationship;19
420;Maria;Whitney;144565;Executive Support & Management Board;16
421;Cindy;Cortez;221039;Investigation;11
422;Penny;Hester;129462;Financial Services;4
423;Jorge;Rowe;277013;Controlling;10
424;Perry;Raymond;344271;Sales and Marketing;1
425;Linda;Ballard;253001;Research;12
426;Todd;Bryan;171122;Research;12
427;Chelsea;Todd;182826;Alpha-Department;20
428;Jorge;Barron;398909;Externam Communication;15
429;Barbara;Fry;231832;Financial Services;4
430;Rebekah;Poole;258369;Distribution and Shipping;3
431;Riley;Hayes;146610;Internal Communication;14
432;Sydney;Hooper;300825;Social and Charity;13
433;Tonya;Ford;167196;Human Resources;5
434;Kathy;Mcintyre;292347;Executive Support & Management Board;16
435;Holly;Mueller;201013;Strategic Communication;18
436;Duane;Prince;380308;Liberterian Relationship;19
437;Patricia;Singh;248908;Customer Relationship Management;8
438;Johnathan;Baird;236788;Research;12
439;Tonya;Montgomery;299365;Controlling;10
440;Austin;Hatfield;269193;Internal Communication;14
441;Glenn;Frey;390452;Business Analysis;6
442;Erica;Duran;150308;Sales and Marketing;1
443;Evan;Booker;181228;Mergers and Aquisition;2
444;Cynthia;Huynh;378727;Internal Communication;14
445;Kristy;Hickman;379069;Executive Support & Management Board;16
446;Sean;Shelton;82722;Research;12
447;Richard;Wolfe;385062;Investigation;11
448;Connor;Acevedo;275658;Social and Charity;13
449;Judith;Davis;396217;Alpha-Department;20
450;Grant;Payne;281918;Executive Support & Management Board;16
451;Kelli;Downs;88820;Controlling;10
452;Brandi;Frost;87755;Liberterian Relationship;19
453;Carolyn;Dodson;93613;Liberterian Relationship;19
454;Jesus;Cervantes;250113;Strategic Communication;18
455;Louis;Key;327033;Executive Support & Management Board;16
456;Linda;Mckenzie;346008;Distribution and Shipping;3
457;Stanley;Reeves;75594;Externam Communication;15
458;Breanna;Hayden;108626;Executive Support & Management Board;16
459;Don;Conrad;136300;Diversity;9
460;Kyle;Pollard;215433;Controlling;10
461;Candace;Stevens;245264;Sales and Marketing;1
462;Loretta;Price;292130;Liberterian Relationship;19
463;Sandy;Conrad;396354;Customer Relationship Management;8
464;Noah;Gates;234181;Customer Relationship Management;8
465;Perry;Tran;73054;Social and Charity;13
466;Cody;Davidson;299763;Strategic Communication;18
467;Nicholas;Yoder;109589;Financial Services;4
468;Jeffery;Tucker;300896;Financial Services;4
469;Jacob;Johns;66179;Financial Services;4
470;Daniel;Ali;46948;Business Analysis;6
471;Mia;Pacheco;172782;Human Resources;5
472;Caroline;Dudley;341230;Liberterian Relationship;19
473;Elijah;Cole;103219;Executive Support & Management Board;16
474;April;Dodson;300675;Key-Account-Group;7
475;Bryan;Stark;172623;Diversity;9
476;Katie;Gill;361374;Customer Relationship Management;8
477;Patricia;Page;261589;Human Resources;5
478;Herbert;Salinas;40669;Sales and Marketing;1
479;Kelsey;Warren;388743;Financial Services;4
480;Tonya;Duffy;259154;Financial Services;4
481;Donald;Pratt;146947;Mergers and Aquisition;2
482;Don;Lawrence;90670;Alpha-Department;20
483;Theodore;Adkins;260638;Key-Account-Group;7
484;Shaun;Simmons;132572;Social and Charity;13
485;Austin;Cisneros;321585;Human Resources;5
486;Ross;Hunt;389387;Diversity;9
487;Linda;Henson;268755;Cantine & Beverage Management;17
488;Willie;Watkins;212181;Customer Relationship Management;8
489;Bryce;Greene;257973;Investigation;11
490;Jaime;Schmitt;134641;Controlling;10
491;Zachary;Mcintosh;358267;Distribution and Shipping;3
492;Mike;Duncan;123772;Customer Relationship Management;8
493;Pam;Weiss;67929;Investigation;11
494;Brittney;Juarez;349571;Investigation;11
495;Mia;Odom;52916;Research;12
496;Casey;Weber;217004;Customer Relationship Management;8
497;Aimee;Khan;356461;Research;12
498;Nathaniel;Wall;353460;Customer Relationship Management;8
499;Jackie;Zhang;202573;Externam Communication;15
500;Madison;Richmond;357545;Financial Services;4
501;Carly;Hicks;112958;Externam Communication;15
502;Antonio;Russell;313639;Liberterian Relationship;19
503;Valerie;Valencia;347103;Mergers and Aquisition;2
504;Tommy;Lambert;398055;Liberterian Relationship;19
505;Norma;Brooks;110237;Social and Charity;13
506;Philip;Jordan;50290;Research;12
507;Mandy;Levine;324437;Key-Account-Group;7
508;Margaret;Stein;356596;Executive Support & Management Board;16
509;Dean;Pennington;184186;Business Analysis;6
510;Clifford;Lutz;178588;Social and Charity;13
511;Rita;Singleton;360523;Controlling;10
512;Kathy;Knapp;256799;Sales and Marketing;1
513;Alexandria;Daniel;99303;Financial Services;4
514;Angelica;Sandoval;104427;Alpha-Department;20
515;Mackenzie;Mcmillan;302637;Social and Charity;13
516;Mia;Cook;254170;Strategic Communication;18
517;April;Frost;372752;Financial Services;4
518;Cassidy;Stevens;106591;Business Analysis;6
519;Martin;Greene;78829;Sales and Marketing;1
520;Michele;Nielsen;227674;Strategic Communication;18
521;Brett;Brown;292860;Strategic Communication;18
522;Darrell;Neal;374489;Research;12
523;Shelley;Bowers;149677;Social and Charity;13
524;Cristian;Myers;257368;Distribution and Shipping;3
525;Traci;Boyle;262462;Controlling;10
526;Jessica;Caldwell;70641;Externam Communication;15
527;Johnathan;Randolph;126057;Business Analysis;6
528;Natasha;Love;331668;Sales and Marketing;1
529;Tony;English;152886;Cantine & Beverage Management;17
530;Carlos;Rowland;310300;Social and Charity;13
531;Russell;Fleming;93114;Diversity;9
532;Gloria;Dougherty;313675;Controlling;10
533;Justin;Burton;237965;Social and Charity;13
534;Austin;Clements;226842;Alpha-Department;20
535;Ray;Cobb;137526;Financial Services;4
536;Kara;Proctor;238125;Key-Account-Group;7
537;Allison;Hess;269136;Alpha-Department;20
538;Sonya;Morales;124645;Business Analysis;6
539;Bryce;Hansen;105515;Investigation;11
540;Charlene;Wolfe;388456;Investigation;11
541;Kristopher;Patel;222675;Alpha-Department;20
542;Terry;Conley;339799;Liberterian Relationship;19
543;Darrell;Wagner;360890;Social and Charity;13
544;Desiree;Singleton;254143;Liberterian Relationship;19
545;Shelly;Lane;328237;Alpha-Department;20
546;Logan;Dean;355204;Research;12
547;Marisa;Shaffer;218884;Alpha-Department;20
548;Bob;Valencia;83985;Cantine & Beverage Management;17
549;Stacy;Simon;381366;Strategic Communication;18
550;Phillip;Burgess;117590;Alpha-Department;20
551;Paige;Warren;89535;Human Resources;5
552;Christy;Ball;392491;Sales and Marketing;1
553;Catherine;Stanton;67512;Business Analysis;6
554;Zoe;Huber;223262;Internal Communication;14
555;Joyce;Robertson;279402;Social and Charity;13
556;Rhonda;Macias;147381;Externam Communication;15
557;Allen;Ross;293913;Customer Relationship Management;8
558;Roberto;Shannon;382890;Social and Charity;13
559;Shaun;Rocha;90331;Key-Account-Group;7
560;Luis;Meadows;395106;Investigation;11
561;Chad;Copeland;274733;Mergers and Aquisition;2
562;Judy;Hayden;49532;Sales and Marketing;1
563;Johnny;Oconnell;296039;Business Analysis;6
564;Tamara;Gentry;160068;Mergers and Aquisition;2
565;Keith;Griffin;314777;Alpha-Department;20
566;Angelica;Humphrey;398049;Mergers and Aquisition;2
567;Derrick;Gomez;130593;Social and Charity;13
568;Shelly;Irwin;167437;Financial Services;4
569;Brady;Meza;143135;Key-Account-Group;7
570;Yvette;Lutz;65810;Internal Communication;14
571;Colleen;Larsen;160944;Strategic Communication;18
572;Rodney;Walsh;226010;Business Analysis;6
573;Sylvia;Ashley;236430;Research;12
574;Natalie;Hall;367592;Investigation;11
575;Candice;Forbes;288027;Executive Support & Management Board;16
576;Alfred;Hodge;233266;Distribution and Shipping;3
577;Alvin;Gibson;54347;Diversity;9
578;Larry;Burke;362998;Social and Charity;13
579;Kaitlin;Sullivan;167781;Investigation;11
580;Ricky;Osborne;306457;Investigation;11
581;Eric;Bautista;352965;Distribution and Shipping;3
582;Tricia;Patrick;207784;Strategic Communication;18
583;Molly;Fletcher;302202;Mergers and Aquisition;2
584;Rodney;Bernard;94046;Research;12
585;Craig;Hamilton;311294;Mergers and Aquisition;2
586;Kristine;Jimenez;78103;Cantine & Beverage Management;17
587;Cheyenne;Hunt;259262;Financial Services;4
588;Shawn;Watkins;135918;Internal Communication;14
589;Johnathan;Griffin;105300;Customer Relationship Management;8
590;Bruce;Ruiz;50097;Strategic Communication;18
591;Clayton;Steele;301708;Diversity;9
592;Derrick;Valenzuela;144947;Diversity;9
593;Candace;Nixon;338732;Externam Communication;15
594;Damon;Nichols;175654;Financial Services;4
